ID,Время создания,"Как часто ты читаешь книги/статьи/учебные материалы, которые хочешь запомнить надолго?","Сталкивался ли ты с тем, что прочитанное быстро забывается? ","Какие методы для запоминания информации ты уже пробовал (конспекты, повторение, приложения)? Почему они не идеальны?",Пробовал ли ты метод интервального повторения?,Что самое сложное в запоминании прочитанного? / Не хватает времени повторять,Что самое сложное в запоминании прочитанного? / Нет системы,Что самое сложное в запоминании прочитанного? / Лень,"Что самое сложное в запоминании прочитанного? / Нет кого-то, кто бы контролировал этот процесс","Представь, что у тебя появится ИИ-ментор, который постоянно проверяет твои знания и подсказывает, что повторить. Во сколько рублей ты оценил бы комфорт и пользу от такого сервиса в месяц?",Где тебе удобнее общаться с ИИ-ментором?,Хотел бы ты видеть статистику по своим успехам в запоминании?,Какие еще фичи были бы полезны?,Твой возраст,Твой пол,Твоя профессия,"Если готов участвовать в тестировании продукта, укажи свой Telegram"
2127169030,2025-08-17 11:00:31,Иногда,Да,"конспекты: приходится записывать информацию, чтобы её запомнить
повторение: чтобы запомнить текст, нужно долго повторять его",Нет,,,Лень,"Нет кого-то, кто бы контролировал этот процесс",Не буду пользоваться,На веб-страничке,Да,"сделать блоки заданий для тренировки памяти; глобальный рейтинг участников, основанный на умении запоминать информацию (чем быстрее человек запоминает информацию или чем больше заданий по тренировке памяти он прошел, тем выше его рейтинг); персонализация аккаунта участника",17,М,студент университета,@literrakv
2127169642,2025-08-17 11:02:23,Иногда,Да,,"Да, но мне не зашло",,,Лень,,Бесплатно,Телеграм,Да,,24,М,Разработчик,
2127171264,2025-08-17 11:07:29,Часто,Да,обсуждение прочитанного с кем-то. нужен кто-то кто тоже это читал или комы интересно рассказать,"Да, мне помогает",,,,"Нет кого-то, кто бы контролировал этот процесс",До 500 р в месяц,Телеграм,Да,,23,Ж,разработчик ,
2127176087,2025-08-17 11:22:37,Часто,Да,,Нет,Не хватает времени повторять,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",До 500 р в месяц,Телеграм,Да,,24,М,DevOps ,@kdapers
2127176626,2025-08-17 11:24:07,Часто,Да,"Отложка в тг, не идеально потому что в отложенное время могу быть занят и инфа пропадëт",Нет,Не хватает времени повторять,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,Телеграм,Да,,32,М,Маркетолог,@neshin_nikita
2127180961,2025-08-17 11:35:46,Часто,Да,"Метод интервального повторения - хорошая штука, читала книгу думай как математик - там  методика расписана. Очень много запомнилось. Но не всегда применяю, это надо осмысленно читать книгу, вспоминая каждую главу. 
Конспекты  - больше для механического запоминания, записал и не обращаешься к записям. 
Сенсеймбай в книге ""Миссия выполнима"" хорошую методику даёт работы с книгой. Где отмечаешь информацию закладками разных цветов. Но говорит, что он перечитывает и перерсмысляет книги. Наверно в этом есть пусть к запоминаю: осмысленность в чтении и повторение.","Да, мне помогает",,Нет системы,,,Бесплатно,На веб-страничке,Да,"Для того, чтобы легче запомнить нужно понимать цель. Сдать экзамен - одна цель. Прорабатывать материал для научной работы - другая цель. Я бы добавила, чтобы ИИ спрашивал такие вопросы, которые бы помогали осмысливать для чего ты это делаешь: цель чтения и запоминания, какую идею (мысль) автор хочет донести. Какие темы в книге. Как раскрывает автор темы и т.д. Сами вопросы подталкивает к проработке материала. Есть книги в которых даются вопросы, но это скорее редкость. Только в учебных пособиях скорее такое есть и школьных учебниках. А это хороший инструмент для повторения",39,Ж,Специалист по процессному управлению,@Natalya_NikulinaA
2127182411,2025-08-17 11:39:36,Часто,Да,"Пересказ, составление вопросов и ответов","Да, мне помогает",Не хватает времени повторять,,,"Нет кого-то, кто бы контролировал этот процесс",Не буду пользоваться,Телеграм,Да,,28,Ж,Программист,@taya_suchkova
2127183693,2025-08-17 11:42:49,Никогда,Да,,Нет,Не хватает времени повторять,,Лень,,До 500 р в месяц,На веб-страничке,Да,,32,М,программист,
2127190305,2025-08-17 12:00:44,Часто,Да,,"Да, но мне не зашло",Не хватает времени повторять,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",Бесплатно,На веб-страничке,Да,,18,М,Разработчик ,@AiKietaka
2127194901,2025-08-17 12:13:44,Часто,Да,"Конспекты, выделение в тексте",Нет,Не хватает времени повторять,,Лень,,До 500 р в месяц,Телеграм,Да,,35,Ж,Маркетолог,
2127196940,2025-08-17 12:19:10,Иногда,Да,,Нет,Не хватает времени повторять,,Лень,,До 500 р в месяц,Телеграм,Да,,23,М,Разработчик,
2127200546,2025-08-17 12:28:50,Иногда,Да,,Нет,,,,"Нет кого-то, кто бы контролировал этот процесс",До 500 р в месяц,Телеграм,Да,,27,М,Нефтяник ,
2127213791,2025-08-17 13:03:13,Часто,Да,Повторять и рассказывать людям. Не идеальны потому что нет регулярности ,Нет,,Нет системы,,,До 500 р в месяц,Телеграм,Да,,21,Ж,Маркетолог ,
2127222916,2025-08-17 13:27:22,Часто,Да,"конспекты, использование прочитанного на практике",Нет,Не хватает времени повторять,,,,Не буду пользоваться,Телеграм,Да,"Сомневаюсь, что буду пользоваться, поэтому ответы 2 и 3 не релевантны, желательно в них тоже добавить вариант не использования.",1,Ж,-,
2127228082,2025-08-17 13:40:17,Иногда,Да,,Нет,,Нет системы,,,До 1000 р в месяц,Телеграм,Да,,29,М,Backend разработчик,
2127230541,2025-08-17 13:46:34,Иногда,Нет,Пишу заметки в блокноте от руки и запоминаю путем создания нейронных связей в мозгу =),"Да, но мне не зашло",,,Лень,,Не буду пользоваться,Телеграм,Нет,"Как он должен будет знать, что я знаю? Я ежедневно должен буду индексировать свои знания?",18,М,DevOps Engineer,
2127233294,2025-08-17 13:53:19,Иногда,Да,"Повторение, Конспекты.
Думаю, что невозможно хорошо закрепить теорию или прочитанное в повествовательной форме без живых примеров или практики.",Нет,,Нет системы,,,До 1000 р в месяц,Телеграм,Да,,31,М,менеджер продаж,
2127250836,2025-08-17 14:36:15,Часто,Да,"Конспектирование
Возвращение и повторение
Использование в работе целенаправленно","Да, мне помогает",Не хватает времени повторять,,Лень,,До 500 р в месяц,Телеграм,Да,,26,М,Программист,
